actions,approach_final_error_m,carry_final_error_m,close_steps,error,failed_checks,first_grasp_action,first_grasp_phase,grasp_after_close_diagnostic,grasp_after_seat,grasp_before_transport,grasp_phase_steps_json,grasp_steps,last_grasp_action,last_grasp_phase,layout_id,lift_final_error_m,lower_final_error_m,passed,retreat_final_error_m,rim_offset_x_m,robot_distractor_contact_steps,robot_plate_contact_steps,seat_final_error_m,seed,spatial_region,task_id,terminal_motion_m,terminal_orientation_deg,trajectory_path,unexpected_object_contact_steps
585,0.0016730043510868868,0.0009343272002606849,45,,[],219,close_rim_pinch,True,True,True,"{""approach_above_rim"":0,""carry_above_plate"":106,""carry_hold"":20,""close_rim_pinch"":37,""descend_straddle_rim"":0,""lift_grasped"":27,""lift_hold"":15,""lower_onto_plate"":39,""release_open"":1,""retreat_up"":0,""seat_grasp"":11,""terminal_hold"":0}",256,475,release_open,1,0.0023908978397378026,0.0018760646568235935,True,0.0016014287509926585,0.044,0,0,0.0013952282193372466,451000,left,9,1.5521431623433986e-08,5.122641877509564e-06,/tmp/libero36_gate5_mug_tasks9_11_formal/task_009_layout_1_trajectory.npz,0
581,0.0012794524379061757,0.0010243387015371295,45,,[],219,close_rim_pinch,True,True,True,"{""approach_above_rim"":0,""carry_above_plate"":103,""carry_hold"":20,""close_rim_pinch"":36,""descend_straddle_rim"":0,""lift_grasped"":28,""lift_hold"":15,""lower_onto_plate"":39,""release_open"":1,""retreat_up"":0,""seat_grasp"":10,""terminal_hold"":0}",252,471,release_open,1,0.002182836293282562,0.0017798144931526914,True,0.0014929523354573313,0.044,0,0,0.0018695014726407171,461000,middle,10,2.0113217451563937e-08,7.2445096183544e-06,/tmp/libero36_gate5_mug_tasks9_11_formal/task_010_layout_1_trajectory.npz,0
568,0.000694753048326101,0.0009833317003949751,45,,[],222,close_rim_pinch,True,True,True,"{""approach_above_rim"":0,""carry_above_plate"":88,""carry_hold"":20,""close_rim_pinch"":36,""descend_straddle_rim"":0,""lift_grasped"":26,""lift_hold"":15,""lower_onto_plate"":39,""release_open"":1,""retreat_up"":0,""seat_grasp"":11,""terminal_hold"":0}",236,458,release_open,1,0.001983077121715667,0.0016303356531319935,True,0.0014304030528740712,0.044,0,0,0.0015122134156686014,471000,right,11,1.5434278167606863e-08,4.829673078902933e-06,/tmp/libero36_gate5_mug_tasks9_11_formal/task_011_layout_1_trajectory.npz,0
