task_id,layout_id,seed,actions,initial_state_max_abs_diff,trajectory_state_max_abs_diff,done_action_count,first_goal_action,replay_passed,failed_checks_json,error,trajectory_path,replay_path,summary_path
9,1,451000,585,0.0,0.0,108,478,True,[],,/tmp/libero36_gate5_mug_tasks9_11_formal/task_009_layout_1_trajectory.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_009_layout_1_replay.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_009_layout_1_replay_summary.json
10,1,461000,581,0.0,0.0,108,474,True,[],,/tmp/libero36_gate5_mug_tasks9_11_formal/task_010_layout_1_trajectory.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_010_layout_1_replay.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_010_layout_1_replay_summary.json
11,1,471000,568,0.0,0.0,108,461,True,[],,/tmp/libero36_gate5_mug_tasks9_11_formal/task_011_layout_1_trajectory.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_011_layout_1_replay.npz,/tmp/libero36_gate5_mug_tasks9_11_formal/task_011_layout_1_replay_summary.json
