task_id,layout_id,seed,actions,initial_state_max_abs_diff,trajectory_state_max_abs_diff,done_action_count,first_goal_action,replay_passed,failed_checks_json,error,trajectory_path,replay_path,summary_path
3,1,391000,596,0.0,0.0,111,486,True,[],,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_003_layout_1_trajectory.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_003_layout_1_replay.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_003_layout_1_replay_summary.json
4,1,401000,578,0.0,0.0,111,468,True,[],,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_004_layout_1_trajectory.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_004_layout_1_replay.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_004_layout_1_replay_summary.json
5,1,411000,605,0.0,0.0,111,495,True,[],,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_005_layout_1_trajectory.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_005_layout_1_replay.npz,/tmp/libero36_gate5_bowl_inside_tasks345_formal/task_005_layout_1_replay_summary.json
