task_id,layout_id,seed,actions,initial_state_max_abs_diff,trajectory_state_max_abs_diff,done_action_count,first_goal_action,replay_passed,failed_checks_json,error,trajectory_path,replay_path,summary_path
18,1,541000,667,0.0,0.0,104,564,True,[],,/tmp/libero36_gate5_soup_tasks18_20_formal/task_018_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_018_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_018_layout_1_replay_summary.json
19,1,551000,582,0.0,0.0,103,480,True,[],,/tmp/libero36_gate5_soup_tasks18_20_formal/task_019_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_019_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_019_layout_1_replay_summary.json
20,1,561000,589,0.0,0.0,103,487,True,[],,/tmp/libero36_gate5_soup_tasks18_20_formal/task_020_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_020_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks18_20_formal/task_020_layout_1_replay_summary.json
