task_id,layout_id,seed,actions,initial_state_max_abs_diff,trajectory_state_max_abs_diff,done_action_count,first_goal_action,replay_passed,failed_checks_json,error,trajectory_path,replay_path,summary_path
21,1,571000,679,0.0,0.0,112,568,True,[],,/tmp/libero36_gate5_soup_tasks21_23_selected/task_021_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_021_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_021_layout_1_replay_summary.json
22,1,581000,572,0.0,0.0,111,462,True,[],,/tmp/libero36_gate5_soup_tasks21_23_selected/task_022_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_022_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_022_layout_1_replay_summary.json
23,1,591000,783,0.0,0.0,112,672,True,[],,/tmp/libero36_gate5_soup_tasks21_23_selected/task_023_layout_1_trajectory.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_023_layout_1_replay.npz,/tmp/libero36_gate5_soup_tasks21_23_selected/task_023_layout_1_replay_summary.json
